beer_type,rating_score
"Lager - North American Adjunct",8
"Lager - Euro",12
"IPA - International",12
"Pale Ale - English",28
"IPA - American",149
"Pale Ale - American",67
"Lager - Vienna",13
"Pilsner - Other",12
Hefeweizen,13
"Red Ale - American Amber / Red",18
"Lager - Pale",21
"Belgian Strong Dark Ale",6
"IPA - English",16
"Lager - Dortmunder / Export",4
"Lager - Helles",2
"Pale Wheat Ale - American",8
"IPA - Imperial / Double",62
"Scotch Ale / Wee Heavy",3
"Mead - Cyser",1
"IPA - Session / India Session Ale",16
"Pale Ale - Belgian",8
"Scottish Export Ale",2
"Lager - Japanese Rice",3
"Kellerbier / Zwickelbier",5
"Blonde Ale",9
"Blonde Ale - Belgian Blonde / Golden",5
"Winter Ale",5
"Porter - Baltic",1
"Brown Ale - English",3
"Sour - Gose",9
"California Common",2
Cider,4
"Strong Ale - American",1
"Lager - Winter",3
"Old Ale",2
"Doppelbock ",1
"Spiced / Herbed Beer",8
Altbier,1
"Lager - American Amber / Red",1
"Saison / Farmhouse Ale",20
Witbier,9
"Pilsner - Czech",2
"IPA - White",4
"Belgian Tripel",2
"Stout - Irish Dry",2
"IPA - Belgian",5
"Fruit Beer",16
Mikkeller,1
"Golden Ale",8
"Belgian Dubbel",1
"Extra Special / Strong Bitter",2
"Brown Ale - American",8
"Smoked Beer",1
"Lager - American Light",2
Gluten-Free,3
"Sour - Berliner Weisse",8
"Pale Ale - New Zealand",2
"Sour - Farmhouse IPA",3
"Cream Ale",3
"Porter - American",6
"Stout - American",2
"Red Ale - Imperial / Double",2
"Belgian Strong Golden Ale",3
"Pilsner - German",3
"Lager - IPL (India Pale Lager)",4
"Stout - American Imperial / Double",8
"Stout - Oatmeal",5
Märzen,2
"Pumpkin / Yam Beer",2
Other,1
Bock,1
"Porter - Imperial / Double",6
"Dark Ale",1
"Brown Ale - Imperial / Double",1
"Stout - Imperial / Double",12
 Smith & Turner ",1
"Strong Ale - English",2
"Lambic - Fruit",1
"Porter - Other",5
"IPA - Triple",7
"Bière de Garde",1
"Stout - Russian Imperial",3
"Pale Ale - Australian",1
"IPA - Black / Cascadian Dark Ale",2
"Sour - Ale",11
"Sour - Flanders Oud Bruin",1
"Pale Ale - International",4
"Stout - Other",2
"Barleywine - English",1
"Stout - Milk / Sweet",4
"IPA - Imperial / Double Black",1
"Specialty Grain",1
Mumme,1
"Scottish Ale",1
Rauchbier,1
"Wheat Wine",1
Kölsch,1
"American Wild Ale",2
"Barleywine - American",3
"English Bitter",1
"Lager - Dark",2
"IPA - New England",6
"Porter - English",1
"Rye Beer",1
"Red Ale - Irish",1
"Belgian Quad",1
"Traditional Ale",1
Dunkelweizen,1
Grisette,1
"Lambic - Gueuze",1
