Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:06:00.301,00:05:57.00,1,--,14,0:06:00  ,0:05:57  ,0:05:20  ,179.0625,187.0,92.99961387824631,164.0,186.0,--,60
2,00:05:45.995,00:05:41.00,1,7,25,0:05:46  ,0:05:41  ,0:05:17  ,181.03125,187.0,95.79170062542363,188.0,199.0,--,71
3,00:05:55.897,00:05:52.00,1,6,--,0:05:55  ,0:05:52  ,0:05:32  ,182.09375,187.0,92.58313436575949,193.0,202.0,--,75
4,00:05:43.647,00:05:38.00,1,8,--,0:05:43  ,0:05:38  ,0:05:34  ,181.9375,187.0,95.96579527251706,195.0,201.0,--,72
5,00:05:49.671,00:05:45.00,1,5,13,0:05:49  ,0:05:45  ,0:05:33  ,183.6875,187.0,93.4140160949942,194.0,201.0,--,74
6,00:05:53.633,00:05:52.00,1,7,8,0:05:53  ,0:05:52  ,0:05:15  ,181.09375,185.0,93.69038173891731,196.0,201.0,--,74
7,00:05:59.765,00:05:53.00,1,3,8,0:05:59  ,0:05:53  ,0:05:31  ,181.984375,186.0,91.64277275926113,197.0,201.0,--,76
8,00:06:28.163,00:06:20.00,1,21,7,0:06:28  ,0:06:20  ,0:05:54  ,179.46875,185.0,86.1287775048982,198.0,209.0,--,82
9,00:05:55.760,00:05:55.760,1,25,28,0:05:55  ,0:05:55  ,0:05:30  ,178.6875,185.0,94.3843413117172,194.0,209.0,--,73
10,00:05:48.278,00:05:40.00,1,--,--,0:05:48  ,0:05:40  ,0:05:38  ,181.515625,185.0,94.90982536544085,194.0,200.0,--,73
11,00:05:48.970,00:05:43.00,1,10,16,0:05:48  ,0:05:43  ,0:05:27  ,181.703125,185.0,94.62388148054266,197.0,202.0,--,73
12,00:06:07.164,00:05:59.00,1,7,7,0:06:07  ,0:05:59  ,0:05:38  ,179.140625,183.0,91.22147095828984,200.0,206.0,--,77
13,00:05:48.525,00:05:41.00,1,16,12,0:05:48  ,0:05:41  ,0:05:32  ,179.03125,183.0,96.15867671959757,200.0,207.0,--,73
14,00:00:10.148,00:00:09.00,0.03,--,--,0:05:31  ,0:04:54  ,0:05:58  ,173.546875,179.0,104.28391868697983,200.0,200.0,--,2
Summary,01:17:15.917,01:17:15.00,13.03,116,138,0:05:55  ,0:05:55  ,0:05:15  ,180.765625,187.0,93.29266686368656,193.0,209.0,--,955
